code,name,market
sh.600018,上港集团,上海
sh.600019,宝钢股份,上海
sh.600020,中原高速,上海
sh.600021,上海电力,上海
sh.600022,山东钢铁,上海
sh.600023,浙能电力,上海
sh.600025,华能水电,上海
sh.600026,中远海能,上海
sh.600027,华电国际,上海
sh.600028,中国石化,上海
sh.600029,南方航空,上海
sh.600030,中信证券,上海
sh.600031,三一重工,上海
sh.600032,浙江新能,上海
sh.600033,福建高速,上海
sh.600035,楚天高速,上海
sh.600036,招商银行,上海
sh.600037,歌华有线,上海
sh.600038,中直股份,上海
sh.600039,四川路桥,上海
sh.600048,保利发展,上海
sh.600050,中国联通,上海
sh.600051,宁波联合,上海
sh.600052,东望时代,上海
sh.600053,九鼎投资,上海
sh.600054,黄山旅游,上海
sh.600055,万东医疗,上海
sh.600056,中国医药,上海
sh.600057,厦门象屿,上海
sh.600058,五矿发展,上海
sh.600059,古越龙山,上海
sh.600060,海信视像,上海
sh.600061,国投资本,上海
sh.600062,华润双鹤,上海
sh.600063,皖维高新,上海
sh.600064,南京高科,上海
sh.600066,宇通客车,上海
sh.600067,冠城新材,上海
sh.600071,凤凰光学,上海
sh.600072,中船科技,上海
sh.600073,光明肉业,上海
sh.600075,新疆天业,上海
sh.600076,康欣新材,上海
sh.600078,澄星股份,上海
sh.600079,人福医药,上海
sh.600080,金花股份,上海
sh.600081,东风科技,上海
sh.600082,海泰发展,上海
sh.600084,中信尼雅,上海
sh.600085,同仁堂,上海
sh.600088,中视传媒,上海
sh.600089,特变电工,上海
sh.600094,大名城,上海
sh.600095,湘财股份,上海
sh.600096,云天化,上海
sh.600097,开创国际,上海
sh.600098,广州发展,上海
sh.600099,XD林海股,上海
sh.600100,同方股份,上海
sh.600101,明星电力,上海
sh.600103,青山纸业,上海
sh.600104,上汽集团,上海
sh.600105,永鼎股份,上海
sh.600106,重庆路桥,上海
sh.600108,亚盛集团,上海
sh.600109,国金证券,上海
sh.600110,诺德股份,上海
sh.600111,北方稀土,上海
sh.600113,浙江东日,上海
sh.600114,东睦股份,上海
sh.600115,中国东航,上海
sh.600116,三峡水利,上海
sh.600118,中国卫星,上海
sh.600119,长江投资,上海
sh.600120,浙江东方,上海
sh.600121,郑州煤电,上海
sh.600123,兰花科创,上海
sh.600125,铁龙物流,上海
sh.600126,杭钢股份,上海
sh.600127,金健米业,上海
sh.600128,苏豪弘业,上海
sh.600129,太极集团,上海
sh.600131,国网信通,上海
sh.600132,重庆啤酒,上海
sh.600133,东湖高新,上海
sz.000001,平安银行,深圳
sz.000002,万 科Ａ,深圳
sz.000006,深振业Ａ,深圳
sz.000007,全新好,深圳
sz.000008,神州高铁,深圳
sz.000009,中国宝安,深圳
sz.000010,美丽生态,深圳
sz.000011,深物业A,深圳
sz.000012,南 玻Ａ,深圳
sz.000014,沙河股份,深圳
sz.000016,深康佳Ａ,深圳
sz.000017,深中华A,深圳
sz.000019,深粮控股,深圳
sz.000020,深华发Ａ,深圳
sz.000021,深科技,深圳
sz.000025,特 力Ａ,深圳
sz.000026,飞亚达,深圳
sz.000027,深圳能源,深圳
sz.000028,国药一致,深圳
sz.000029,深深房Ａ,深圳
sz.000030,富奥股份,深圳
sz.000031,大悦城,深圳
sz.000034,神州数码,深圳
sz.000035,中国天楹,深圳
sz.000036,华联控股,深圳
sz.000037,深南电A,深圳
sz.000039,中集集团,深圳
sz.000042,中洲控股,深圳
sz.000045,深纺织Ａ,深圳
sz.000048,京基智农,深圳
sz.000049,德赛电池,深圳
sz.000050,深天马Ａ,深圳
sz.000055,方大集团,深圳
sz.000056,皇庭国际,深圳
sz.000058,深 赛 格,深圳
sz.000059,华锦股份,深圳
sz.000060,中金岭南,深圳
sz.000061,农 产 品,深圳
sz.000062,深圳华强,深圳
sz.000063,中兴通讯,深圳
sz.000065,北方国际,深圳
sz.000066,中国长城,深圳
sz.000068,华控赛格,深圳
sz.000069,华侨城Ａ,深圳
sz.000070,特发信息,深圳
sz.000078,海王生物,深圳
sz.000088,盐 田 港,深圳
sz.000089,深圳机场,深圳
sz.000090,天健集团,深圳
sz.000096,广聚能源,深圳
sz.000099,中信海直,深圳
sz.000100,TCL科技,深圳
sz.000151,中成股份,深圳
sz.000153,丰原药业,深圳
sz.000155,川能动力,深圳
sz.000156,华数传媒,深圳
sz.000157,中联重科,深圳
sz.000158,常山北明,深圳
sz.000159,国际实业,深圳
sz.000166,申万宏源,深圳
sz.000301,东方盛虹,深圳
sz.000333,美的集团,深圳
sz.000338,潍柴动力,深圳
sz.000400,许继电气,深圳
sz.000401,冀东水泥,深圳
sz.000402,金 融 街,深圳
sz.000403,派林生物,深圳
sz.000404,长虹华意,深圳
sz.000407,胜利股份,深圳
sz.000408,藏格矿业,深圳
sz.000409,云鼎科技,深圳
sz.000410,沈阳机床,深圳
sz.000411,英特集团,深圳
sz.000415,渤海租赁,深圳
sz.000417,合百集团,深圳
sz.000419,通程控股,深圳
sz.000420,吉林化纤,深圳
sz.000421,南京公用,深圳
sz.000422,湖北宜化,深圳
sz.000423,东阿阿胶,深圳
sz.000425,徐工机械,深圳
sz.000426,兴业银锡,深圳
sz.000428,华天酒店,深圳
sz.000429,粤高速Ａ,深圳
sz.000498,山东路桥,深圳
sz.000501,武商集团,深圳
sz.000503,国新健康,深圳
sz.000505,京粮控股,深圳
sz.000506,招金黄金,深圳
sz.000507,珠海港,深圳
sz.000509,华塑控股,深圳
sz.000510,新金路,深圳
sz.000513,丽珠集团,深圳
sz.000514,渝 开 发,深圳
sz.000516,国际医学,深圳
